_rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,status,ranksort,tonesort,techsort,pricesort
C+,,FitEar Monet 17,1550,Warm V-shape,"Somewhat bloated and sharp-sounding at the same time. Very coloured and very spicy, not for everyone.",C+,B,4BA,Jaben SG demo unit,148,91,57,1550
C+,,Westone Mach 80,1600,Dark neutral,,C+,B,8BA,e-Earphone demo unit,148,91,57,1600
C+,,Aroma Twins,1700,Variable,"Swap between ""too warm"" or ""too bright"". Extremely coloured on both ends of the spectrum.",C+,B,7BA,AV One demo unit,148,91,57,1700
C+,,HUM Dolores,1700,Neutral,"Slightly bright-tilted neutral, lacks upper treble extension.",B,C+,2BA,Zeppelin & Co demo unit,148,57,91,1700
C+,,FitEar MH335DW,2250,Warm,Warmer than your average 334 with a little more congested. Kind of like a custom-TG334.,C+,B,5BA,Jaben SG demo unit,148,91,57,2250
C+,,IMR RAH,Discont.,Variable,Not much point to the filter system when it's just varying degrees of mediocre.,C+,B,1Piezo 1Planar 1DD,Third party unit,148,91,57,99999
C+,,EarFun x Oluv Free Pro,Discont.,Dark neutral,"Pretty inoffensive overall, though clarity takes a hit due to the dark tilt in tonality.",B,C+,DD,Available for demo at The Hangout,148,57,91,99999
C+,,Lypertek Bevi,50,Neutral,"Solid, well-balanced tonality. Narrow imaging and subpar resolution.",B+,C,BA,Jaben Melbourne demo unit,154,43,111,50
C+,,Tin HiFi T2 Plus,60,Warm neutral,"A solidly-tuned, inoffensive signature with middling technicalities.",B+,C,DD,Available for demo at The Hangout,154,43,111,60
C+,,Shure Aonic 3,160,Neutral,"Slightly bright-tilted neutral, lacks upper treble extension.",B+,C,BA,ConnectIT demo unit,154,43,111,160
C+,,NXEars Sonata,200,Neutral,"Pretty solid neutral tuning, though not very resolving and with one-dimensional imaging.",B+,C,BA,Zeppelin & Co demo unit,154,43,111,200
C+,,Mangird MT4,200,Neutral with bass boost,,B+,C,3BA 1DD,Available for demo at The Hangout,154,43,111,200
C+,,Fearless Shangri-la,230,V-shaped,,B+,C,4BA 1DD,Available for demo at The Hangout,154,43,111,230
C+,,Fatfreq Musician Pro SE,380,Neutral with bass boost,,B+,C,3BA,Showfloor demo unit,154,43,111,380
C+,,Dita Truth Answer Edition,450,V-shaped,"Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.",C,B+,DD,Zeppelin & Co demo unit,154,111,43,450
C+,,Acoustune HS1501,500,Warm V-shape,"A more textured, bassier and more energetic version of the HS1551.",C,B+,DD,Zeppelin & Co demo unit,154,111,43,500
C+,,Dita Truth,750,V-shaped,"Classic Dita V-shape; free of bloat, though notably forward and a little harsh on the ears.",C,B+,DD,Zeppelin & Co demo unit,154,111,43,750
C+,,Alclair Studio3,750,Neutral with bass boost,Competent tuning if limited by detail retrieval and upper treble extension.,B+,C,3BA,Ear.Inc demo unit,154,43,111,750
C+,,Acoustune HS1790,1000,Bright V-shape,,C,B+,DD,e-Earphone demo unit,154,111,43,1000
C+,,Kumitate KL-REF Type-S,1350,Variable,Well tuned but unfortunately suffers from very odd timbre.,C,B+,3BA 2DD,Third party unit,154,111,43,1350
C+,,FAudio Major,1400,V-shaped,Piercing sharp treble and overwhelming bass makes this hard to listen to.,C,B+,DD,Third party unit,154,111,43,1400
C+,,Campfire Solaris (2020),1500,Bright V-shape,"Similar (but not identical) upper midrange problems to the original, with added sibilance.",C,B+,4BA 1DD,Third party unit,154,111,43,1500
C+,,Canal Works CW-U91,1570,Warm U-shape,,C,B+,16BA,e-Earphone demo unit,154,111,43,1570
C+,,Hifiman RE400,Discont.,Bright neutral,The legend still holds up well today. Solid tonality with average technicalities.,B+,C,DD,Personal unit,154,43,111,99999
C+,,Moondrop Spaceship,20,Bright V-shape,Shouty with a slight warm tilt as a counterbalance. Not the worst DF-ish IEM out there.,C+,B-,DD,Third party unit,164,91,73,20
C+,,Tin HiFi T2,50,Neutral,Well-balanced tuning and an all-rounder signature that works for most.,B-,C+,2DD,Available for demo at The Hangout,164,73,91,50
C+,,Tin HiFi T3,80,Mild V-shape,"Somewhat generic hybrid signature, tuned well with good transient ability.",B-,C+,1BA 1DD,Available for demo at The Hangout,164,73,91,80
C+,,Final Audio Heaven II,90,Bright neutral,Solid technical ability though might be a little too sterile at times.,B-,C+,BA,A2A Melbourne demo unit,164,73,91,90
C+,,Tanchjim Echo,100,Bright U-shape,,B-,C+,DD,Available for demo at The Hangout,164,73,91,100
C+,,Anker Soundcore Liberty Air 2,100,U-shaped,"A lot of sub-bass and a lot of treble. Fun, but very fatiguing.",B-,C+,DD,ConnectIT demo unit,164,73,91,100
C+,,DUNU Kima,100,Mild V-shape,,B-,C+,DD,Available for demo at The Hangout,164,73,91,100
C+,,Tripowin x HBB Olina,100,V-shaped,,B-,C+,DD,Third party unit,164,73,91,100
C+,,NiceHCK NX7 Mk3,120,U-shaped,Piercing treble probably due to the piezo driver. Competent tonality otherwise.,C+,B-,1Piezo 4BA 2DD,Available for demo at The Hangout,164,91,73,120
C+,,Shuoer Tape,130,V-shaped,Decent technicalities but it basically screams in your face.,C+,B-,MS,Oardio demo unit,164,91,73,130
C+,,NiceHCK NX7 Pro,132,Bright V-shape,Superb midrange tonality marred by a painfully piercing treble response.,C+,B-,1Piezo 4BA 2DD,Available for demo at The Hangout,164,91,73,132
C+,,FiiO FH3,150,V-shaped,"Does come off as sort of a broken FH5, but the FH5 elements are mostly there.",C+,B-,2BA 1DD,E1 demo unit,164,91,73,150
C+,,Anker Soundcore Liberty 2 Pro,150,V-shaped,"Impressive sub-focused bass response, limited by its shouty and sharp midrange and treble.",B-,C+,1BA 1DD,Third party unit,164,73,91,150
C+,,Tanchjim Hana,160,Mild V-shape,"Somewhat strange upper-midrange tonality. Not a ""mini-Oxygen"".",C+,B-,DD,Available for demo at The Hangout,164,91,73,160
C+,,ThieAudio Voyager 3 (V3),160,Warm V-shape,Slightly esoteric signature that somewhat works.,C+,B-,3BA,Available for demo at The Hangout,164,91,73,160
C+,,Jabra Elite Active 65t,190,Neutral,"Excellent tonal balance and timbre, though technical ability isn't the best.",B-,C+,DD,ConnectIT demo unit,164,73,91,190
C+,,ikko OH10,200,V-shaped,"Your standard ""chifi V"" but done fairly well. Decently technical.",C+,B-,1BA 1DD,Zeppelin & Co demo unit,164,91,73,200
C+,,ikko OH1S,200,Bright neutral,,C+,B-,1BA 1DD,Available for demo at The Hangout,164,91,73,200
C+,,iBasso IT01S,200,V-shaped,"Balanced tuning, slight lean towards brightness. Should be pleasing for most ears.",C+,B-,DD,Zeppelin & Co demo unit,164,91,73,200
C+,,qdc Uranus,200,Warm,Sounds like another variation of the qdc Fusion. Not sure which is worse though.,C+,B-,1BA 1DD,Music Sanctuary demo unit,164,91,73,200
C+,,DUNU Falcon Pro,220,Warm,,C+,B-,DD,Available for demo at The Hangout,164,91,73,220
C+,,Yanyin Aladdin,250,Neutral,,C+,B-,3BA 1DD,Available for demo at The Hangout,164,91,73,250
C+,,Sennheiser Momentum True Wireless 3,250,Warm,"A much-needed improvement over its predecessors, but still comes with suppressed upper harmonics.",B-,C+,DD,Showfloor demo unit,164,73,91,250
C+,,AAW A3H Plus,250,Warm neutral,A lot more balanced compared to the 2019 version. Good tonality if limited by resolution.,B-,C+,2BA 1DD,Zeppelin & Co demo unit,164,73,91,250
C+,,Mangird Tea,300,"""Balanced""","In a weird place, tonally. Not quite wrong enough to be ""wonky"", but certainly not right either.",C+,B-,6BA 1DD,Available for demo at The Hangout,164,91,73,300
C+,,Tin HiFi P2,350,Warm U-shape,"A good upgrade over the original in terms of technicalities, but the bothersome sibilance still exists.",C+,B-,Planar,Available for demo at The Hangout,164,91,73,350
C+,,Soranik ION-4,350,Neutral with bass boost,"Fairly detailed with good imaging performance, though tuning needs more refinement.",C+,B-,1EST 2BA 1DD,Showfloor demo unit,164,91,73,350
C+,,Audio Genetic AG2,450,Warm,"Warm, smooth presentation... perhaps a little too smoothed over for my liking.",C+,B-,2BA,Zeppelin & Co demo unit,164,91,73,450
C+,,FAudio Chorus,500,Warm V-shape,,C+,B-,3BA,e-Earphone demo unit,164,91,73,500
C+,,IMR Zenith,550,Variable,"Assuming blue filters, probably the best tuned IMR IEM. Every other filter is garbage.",B-,C+,1Piezo 1DD,Third party unit,164,73,91,550
C+,,Lime Ears LE2,600,Neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",C+,B-,2BA,Music Sanctuary demo unit,164,91,73,600
C+,,Unique Melody Mini MEST,600,V-shaped,Bone conduction driver doesn't seem to be doing much. Just your average V-shaped BA IEM.,C+,B-,1BC 3BA,Available for demo at The Hangout,164,91,73,600
C+,,Elysian Artemis,600,Warm,"Thick, warm and smooth signature without complete sacrifice in technicalities.",B-,C+,3BA,Available for demo at The Hangout,164,73,91,600
C+,,Open Audio Mercury,600,Neutral with bass boost,,B-,C+,4BA 1DD,Available for demo at The Hangout,164,73,91,600
C+,,AAW x Custom Art Project 4+2,750,Variable,"Competent tuning overall, though lacking definition and clarity.",B-,C+,4BA 2DD,Zeppelin & Co demo unit,164,73,91,750
C+,,Craft Ears Cuprum,800,U-shaped,,C+,B-,2BA 1DD,Zeppelin & Co demo unit,164,91,73,800
C+,,Ultimate Ears UE7 Pro,850,Warm neutral,"Good clarity and detail with boosted, warm bass and controlled treble.",B-,C+,3BA,Zeppelin & Co demo unit,164,73,91,850
C+,,Eternal Melody EM-5,900,Warm,"Very warm, bordering on bloated. Could use a little less lower mids or a bit more upper mids.",C+,B-,5BA,Zeppelin & Co demo unit,164,91,73,900
C+,,qdc Fusion,920,Warm,Dulled transients and lacks detailing. Tonality is merely okay.,C+,B-,4BA 1DD,Music Sanctuary demo unit,164,91,73,920
C+,,Alclair Studio4,950,Mild V-shape,"Transients are a little mushy and lacking snap, but at least the tuning's halfway decent.",B-,C+,4BA,Ear.Inc demo unit,164,73,91,950
C+,,ikko OH7,950,V-shaped,"Well-controlled bass response, though the rest leaves a lot to be desired.",B-,C+,DD,Zeppelin & Co demo unit,164,73,91,950
C+,,Shure SE846,1000,Neutral with bass boost,Deep reaching bass but with an odd tonality in the rest of the spectrum.,B-,C+,4BA,Zeppelin & Co demo unit,164,73,91,1000
C+,,NCM Bella,1050,U-shaped,"Powerful bass combined with clean sounding mids, though perhaps a tad aggressive at times.",C+,B-,8BA 1DD,Available for demo at The Hangout,164,91,73,1050
C+,,Tralucent 1+Xplus,1200,U-shaped,"WARNING: comes with solid tips. Decent once you get a proper seal, but nothing exceptional.",C+,B-,1Planar 1BA 1DD,Available for demo at The Hangout,164,91,73,1200
C+,,Canal Works CW-U77,1300,Neutral,,C+,B-,8BA,e-Earphone demo unit,164,91,73,1300
C+,,Vision Ears VE4.2,1440,V-shaped,"Decently tuned monitor with adequate resolution, but nothing that hasn't been done before for cheap.",C+,B-,4BA,E1 demo unit,164,91,73,1440
C+,,Earsonics Purple,1500,Neutral,"Probably the most ""normal-sounding"" Earsonics IEM. Still some tonal problems but not horrible.",C+,B-,5BA,Zeppelin & Co demo unit,164,91,73,1500
C+,,AAW Halcyon,1500,Warm V-shape,Filters change the bass response. Congested presentation and lacks definition.,B-,C+,4EST 2BA 1DD,Zeppelin & Co demo unit,164,73,91,1500
C+,,Empire Ears Nemesis,1600,V-shaped,A lot more treble compared to the Vantage.,C+,B-,3BA 2DD,Zeppelin & Co demo unit,164,91,73,1600
C+,,AAW Canary,2170,V-shaped,"Poor implementation of the EST driver. Decent in tonality and timbre, but that's about it.",C+,B-,2EST 4BA 2DD,Music Sanctuary demo unit,164,91,73,2170
C+,,Simphonio VR1,2300,Mild V-shape,,C+,B-,DD,Third party unit,164,91,73,2300
C+,,Empire Ears Phantom LE,2500,Warm,"A slightly more balanced Phantom, that is to say it's not complete lower-mid bloat.",C+,B-,5BA,ConnectIT demo unit,164,91,73,2500
C+,,HYLA Nerva-X,2750,Warm,"Pretty dead-sounding, and the lack of treble extension isn't doing it any favours.",B-,C+,10BA,Zeppelin & Co demo unit,164,73,91,2750
C+,,Rhapsodio Infinity (Mk1),3600,V-shaped,,C+,B-,6BA,e-Earphone demo unit,164,91,73,3600
C+,,Audio Technica ATH-IM02,Discont.,Warm neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",C+,B-,2BA,Third party unit,164,91,73,99999
C+,,VSonic GR07 Bass Edition,Discont.,Neutral,"Rather than a bassier GR07, this seems more like a darker GR07.",B-,C+,DD,LMUE demo unit,164,73,91,99999
C+,,VSonic GR07 Classic,Discont.,Mild V-shape,"Well-balanced, well-tuned, good technicalities. The $100 benchmark since ever.",B-,C+,DD,LMUE demo unit,164,73,91,99999
C+,,Tralucent 1 Plus 2.2,Discont.,Bright V-shape,Decently tuned hybrid if a little inconsistent and past its prime.,B-,C+,2BA 1DD,Jaben SG demo unit,164,73,91,99999
C+,,Vive XE800,Discont.,Mild V-shape,A mini GR07. Need I say more?,B-,C+,DD,Third party unit,164,73,91,99999
C+,,FLC8S,Discont.,Variable,Very good technicalities with a well-tuned signature. Filters change the sound a lot.,B-,C+,2BA 1DD,Personal unit,164,73,91,99999
C+,,Final Audio E500,20,Neutral,Very well-balanced though plagued by the usual E-series QC problems.,B,C,DD,Personal unit,168,57,111,20
C+,,Final Audio E1000,30,Neutral,Balanced tuning with good clarity and acceptable resolution. Surprising pick.,B,C,DD,Zeppelin & Co demo unit,168,57,111,30
C+,,QCY T5,35,Neutral,"An odd take on a reference-style signature, but definitely not the worst attempt out there.",B,C,DD,Third party unit,168,57,111,35
C+,,BLON BL03,38,Warm V-shape,Very pleasing and safe tuning with subpar technical detailing.,B,C,DD,Available for demo at The Hangout,168,57,111,38
C+,,EarFun x Oluv Free,50,Bassy,Bassy bordering on bleeding into the mids. Somewhat non-fatiguing but lacking resolution.,B,C,2DD,Personal unit,168,57,111,50
C+,,Neusonik direm E3,50,V-shaped,Sounds like an attempt at a MH755.,B,C,DD,Available for demo at The Hangout,168,57,111,50
C+,,Audiosense DT100,110,Neutral,,B,C,BA,Available for demo at The Hangout,168,57,111,110
C+,,Edifier TWS6,120,U-shaped,"Well-controlled bass response, though can come off as a bit hollow and pulled-back.",B,C,BA,Third party unit,168,57,111,120
C+,,Fearless Provence,140,Neutral with bass boost,,B,C,2BA 1DD,Available for demo at The Hangout,168,57,111,140
C+,,JVC HA-FX99X-B,170,Neutral with bass boost,Surprisingly well-controlled bass boost with a slightly warm tilt. Limited resolution.,B,C,DD,Third party unit,168,57,111,170
C+,,Seek Real Audio Airship,180,V-shaped,,B,C,DD,Available for demo at The Hangout,168,57,111,180
C+,,Sony MDR-EX600,200,"""Balanced""",Significantly different from the EX800/EX1000. Notable hole in the upper mids.,C,B,DD,Third party unit,168,111,57,200
C+,,Fatfreq Reference Plus V2,230,Dark neutral,,B,C,2BA,Showfloor demo unit,168,57,111,230
C+,,Shure Aonic 4,260,Neutral with bass boost,"Great tuning, but severely lacking upper octave air and extension.",B,C,1BA 1DD,ConnectIT demo unit,168,57,111,260
C+,,Unique Melody 3D Terminator,400,Bright V-shape,,C,B,3DD,e-Earphone demo unit,168,111,57,400
C+,,Vision Ears VE2,800,Warm,,B,C,2BA,e-Earphone demo unit,168,57,111,800
C+,,Lime Ears Aether R,1350,Variable,A downgrade from the original with weirder midrange tonality.,C,B,6BA,Music Sanctuary demo unit,168,111,57,1350
C+,,Vision Ears VE6,1500,Warm neutral,A little incoherent and could use more midrange evenness.,C,B,6BA,E1 demo unit,168,111,57,1500
C+,,Noble Kadence,1600,Bright V-shape,,C,B,8BA,e-Earphone demo unit,168,111,57,1600
C+,,Ambient Acoustics MAD24,3500,Warm,,C,B,24BA,Review loaner,168,111,57,3500
C+,,Advanced Evo X,Discont.,Neutral,A well-balanced Bluetooth IEM. A very nice surprise.,B,C,DD,Zeppelin & Co demo unit,168,57,111,99999
C+,,ThieAudio Legacy 2 (L2),100,Neutral,,B+,C-,1BA 1DD,Available for demo at The Hangout,176,43,133,100
C+,,Ultimate Ears UE18+ Pro Gen 3,1500,"""Balanced""","Perceived more neutrally compared to the Gen 2; less emotional, more boring.",C-,B+,6BA,Music Sanctuary demo unit,176,133,43,1500
C+,,Tanchjim Tanya,25,V-shaped,,C+,C+,DD,Available for demo at The Hangout,182,91,91,25
C+,,Zero Audio Carbo Tenore ZH-DX200-CT,40,V-shaped,A well-tuned V-shaped signature that maintains solid midrange and excellent clarity.,C+,C+,DD,Personal unit,182,91,91,40
C+,,Urbanfun YBF-ISS014,60,V-shaped,Clear detailing marred slightly by an almost generic and sharp tuning.,C+,C+,DD,Available for demo at The Hangout,182,91,91,60
C+,,HZSound Heart Mirror,60,"""Balanced""",,C+,C+,DD,Third party unit,182,91,91,60
C+,,FiiO F9,100,Bright V-shape,"Good technicalities, average timbre, perhaps a little excessive on the highs.",C+,C+,2BA 1DD,Available for demo at The Hangout,182,91,91,100
C+,,Periodic Audio Mg,100,Warm,Not the most clear or detailed but a very clean sound with good timbre.,C+,C+,DD,Available for demo at The Hangout,182,91,91,100
C+,,Fearless Barcelona,120,Bassy,,C+,C+,1BA 1DD,Available for demo at The Hangout,182,91,91,120
C+,,FiiO F9 Pro,150,Bright V-shape,Pretty indistinguishable from the original F9.,C+,C+,2BA 1DD,Jaben SG demo unit,182,91,91,150
C+,,Shozy & Neo CP,165,Warm,"Reference-style tuning, decent tonal balance, solid technical ability.",C+,C+,3BA,LMUE demo unit,182,91,91,165
C+,,TFZ King Pro,170,V-shaped,"Powerful yet controlled bass response, good snap in the treble, doesn't sacrifice too much in the midrange.",C+,C+,DD,Third party unit,182,91,91,170
C+,,Final Audio Heaven 4,170,Warm neutral,"The black sheep of the ""Final single BA"" lineup. More normal sounding and also the warmest sounding.",C+,C+,BA,Jaben SG demo unit,182,91,91,170
C+,,Tin HiFi P1 Plus,170,Warm neutral,,C+,C+,Planar,Available for demo at The Hangout,182,91,91,170
C+,,KBEar TRI I3,200,V-shaped,"Surprisingly decent tonality, though somewhat average in the grand scheme of things.",C+,C+,1BA 1DD 1Planar,Third party unit,182,91,91,200
C+,,iBasso IT03,260,U-shaped,Excellent bass and clarity. Hollow midrange and somewhat metallic treble.,C+,C+,2BA 1DD,Zeppelin & Co demo unit,182,91,91,260
C+,,Fostex TM2,300,V-shaped,"A little thin, a little bright and a little shouty, but not bad overall.",C+,C+,DD,Third party unit,182,91,91,300
C+,,DUNU DN-2000,300,"""Balanced""","Lacking that necessary bite and forwardness in the upper mids, but otherwise fine.",C+,C+,2BA 1DD,Jaben SG demo unit,182,91,91,300
C+,,Final Audio B2,300,Neutral,"Fairly normal ""single BA tuning"", but severely lacking in upper treble extension.",C+,C+,BA,Showfloor demo unit,182,91,91,300
C+,,Aroma Star,300,V-shaped,"Fairly normal ""single BA tuning"", nothing exceptional nor terrible.",C+,C+,BA,AV One demo unit,182,91,91,300
C+,,Azla Horizon,300,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C+,DD,Zeppelin & Co demo unit,182,91,91,300
C+,,1Custom SA03,300,Warm V-shape,Warm lower-mid response balanced out by a forward treble presentation.,C+,C+,3BA,Jaben SG demo unit,182,91,91,300
C+,,UFOEar UFO-112,350,V-shaped,"Well-controlled bass response with a peaky, slightly shouty midrange and treble profile.",C+,C+,2BA 1DD,Available for demo at The Hangout,182,91,91,350
C+,,Yanyin Canon,350,Variable,,C+,C+,4BA 1DD,Available for demo at The Hangout,182,91,91,350
C+,,JVC HA-FW02,370,V-shaped,Very warm yet with some shoutiness. Too many conflicting things going on.,C+,C+,DD,Jaben SG demo unit,182,91,91,370
C+,,DUNU DN-2002,380,Warm,Slightly bassier and warmer version of the DN-2000.,C+,C+,2BA 2DD,Jaben SG demo unit,182,91,91,380
C+,,Craft Ears Craft TWO,400,Warm neutral,General downsloping response; not the worst performer but nothing that stands out either.,C+,C+,2BA,Ear.Inc demo unit,182,91,91,400
C+,,Custom Art FIBAE Black,500,Warm neutral,"Smooth, neutral-ish signature that serves as an all rounder.",C+,C+,1BA,Third party custom,182,91,91,500
C+,,IMR R2 Aten,500,Variable,Decent sounding mids with bass that ranges from bleeding to non-existent.,C+,C+,1Piezo 1DD,Third party unit,182,91,91,500
C+,,Tansio Mirai Land,600,Variable,,C+,C+,2EST 3BA 1DD,Available for demo at The Hangout,182,91,91,600
C+,,Empire Ears Bravado,700,V-shaped,A basic hybrid sound with big bass and energetic treble.,C+,C+,1BA 1DD,Zeppelin & Co demo unit,182,91,91,700
C+,,JH Audio Rosie,1000,Warm V-shape,One of the better-tuned JH IEMs. Still has some bloat issues and unnaturally sharp.,C+,C+,6BA,Zeppelin & Co demo unit,182,91,91,1000
C+,,Ultimate Ears UE11 Pro,1150,Bassy,Quite a bit of low-end emphasis. Overly-congested and smeared transients.,C+,C+,4BA,Music Sanctuary demo unit,182,91,91,1150
C+,,64 Audio Duo,1200,Warm,,C+,C+,1BA 1DD,Third party unit,182,91,91,1200
C+,,AAW Mockingbird,1450,Neutral,"A ""nothing special"" kind of sound that is neither wrong nor exciting, even on a technical level.",C+,C+,8BA 1DD,Music Sanctuary demo unit,182,91,91,1450
C+,,Aroma Yao,2500,Warm,"Competent tonality, good technicalities, nothing terrible but certainly expected more.",C+,C+,12BA,AV One demo unit,182,91,91,2500
C+,,VSonic GR07X,Discont.,Neutral,Jack of all trades. Has all the fundamentals down to a T.,C+,C+,DD,Personal unit,182,91,91,99999
C+,,Neusonik direm PRO,?,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C+,DD,Available for demo at The Hangout,182,91,91,99999
C+,,1Custom SA05,?,Warm V-shape,Warm lower-mid response balanced out by a forward treble presentation.,C+,C+,5BA ,Jaben SG demo unit,182,91,91,99999
C,,Samsung AKG EO-IG955,10,V-shaped,That freebie you get with Samsung phones. Surprisingly competent and worth keeping.,B-,C,DD,Personal unit,184,73,111,10
C,,Tanchjim Zero,15,Bright neutral,,B-,C,DD,Available for demo at The Hangout,184,73,111,15
C,,FiiO F3,25,U-shaped,Well-balanced U-shaped sound that's rather atypical of a chifi dynamic IEM.,B-,C,DD,E1 demo unit,184,73,111,25
C,,Moondrop SSP,40,V-shaped,"Extra bass on top of the SSR does help it a little, but also results in a more hollow presentation.",C,B-,DD,Available for demo at The Hangout,184,111,73,40
C,,Final Audio E2000,45,V-shaped,"Not too dissimiliar to a GR07, though lacking in that last octave of bass extension.",B-,C,DD,E1 demo unit,184,73,111,45
C,,Final Audio E3000,55,Warm,"A warmer, bassier E2000.",B-,C,DD,E1 demo unit,184,73,111,55
C,,FiiO F5,65,V-shaped,"Typical chifi V-shaped sound, nothing much to report on.",B-,C,DD,E1 demo unit,184,73,111,65
C,,Shanling MTW200,70,Bright U-shape,,B-,C,DD,Available for demo at The Hangout,184,73,111,70
C,,FiiO FA1,100,Neutral,A pretty standard reference-style tuning that just works.,B-,C,BA,ConnectIT demo unit,184,73,111,100
C,,BQEYZ Spring 1,140,V-shaped,"Piezo treble is notably sharp and unpleasant, while overall detail and clarity is surprisingly high.",C,B-,1Piezo 1BA 1DD,Third party unit,184,111,73,140
C,,Fatfreq Reference,150,Neutral,,B-,C,BA,Showfloor demo unit,184,73,111,150
C,,NF Audio NM2+,170,Bright V-shape,"Tonality can get a little intense and is fairly underwhelming, though surprisingly resolving.",C,B-,DD,Available for demo at The Hangout,184,111,73,170
C,,KBEar Aurora,170,V-shaped,,B-,C,DD,Available for demo at The Hangout,184,73,111,170
C,,Final Audio E4000,180,V-shaped,"Rather standard sounding, non-offensive and neutral in tone.",B-,C,DD,E1 demo unit,184,73,111,180
C,,Oriolus Finschi,180,Bright,"Energetic and bright, overall a well built hybrid that can be strident for some ears.",B-,C,2BA 1DD,E1 demo unit,184,73,111,180
C,,DUNU DN-1000,200,Neutral,"Balanced, almost conservative tonality. A bit uncontrolled in the treble but otherwise not bad.",B-,C,2BA 1DD,Jaben SG demo unit,184,73,111,200
C,,ThieAudio Elixir,200,Neutral with bass boost,,B-,C,DD,Available for demo at The Hangout,184,73,111,200
C,,Symphonium Aurora,250,Warm neutral,"Fair standard warm-neutral tuning, limited by resolution.",B-,C,2BA,Music Sanctuary demo unit,184,73,111,250
C,,FiiO FH5s,280,V-shaped,"Varying degrees of ""V-shape"". Sounds like a regression from the original.",C,B-,2BA 2DD,Available for demo at The Hangout,184,111,73,280
C,,Final Audio E5000,280,Warm,Less treble than the E4000 for a slightly different flavour.,B-,C,DD,E1 demo unit,184,73,111,280
C,,FiiO FA7S,340,Warm,,C,B-,6BA,e-Earphone demo unit,184,111,73,340
C,,Eartech Dual Driver,350,Warm,Very pleasant and smoothing tuning bottlenecked by subpar technical ability.,B-,C,2BA,Music Sanctuary demo unit,184,73,111,350
C,,Sennheiser Momentum True Wireless 2(High-End Sound Tuning mode),350,Neutral with bass boost,Big improvement in tonality over the stock MTW2. Treble peaks and unruly bass are tamed.,B-,C,DD,Zeppelin & Co demo unit,184,73,111,350
C,,AAW A3H Pro V2,370,Warm,Decent technicalities with well controlled bass and treble rolloff.,B-,C,2BA 1DD,Personal custom,184,73,111,370
C,,Oriolus Forsteni,375,U-shaped,"Spacious staging, good clarity, but thin in the mids and overly sharp.",C,B-,2BA 1DD,Zeppelin & Co demo unit,184,111,73,375
C,,AKG N40,400,Variable,A rather typical hybrid tuned to the Harman Target. Nothing special especially for the asking price.,B-,C,1BA 1DD,Zeppelin & Co demo unit,184,73,111,400
C,,Shure Aonic 5,450,Neutral,The spiritual successor to the SE535. A slight tonal problem but still equally dead with no extension.,B-,C,3BA,ConnectIT demo unit,184,73,111,450
C,,JVC HA-FW1500,500,V-shaped,,C,B-,DD,e-Earphone demo unit,184,111,73,500
C,,Noble Savant 2,500,Warm,Decent tonal balance with subpar detail retrieval.,B-,C,2BA,Stereo SG demo unit,184,73,111,500
C,,IMR Aten,550,Variable,"Bass noticeably bleeds into the mids, with the classic piezo treble sharpness.",C,B-,Piezo DD,Third party unit,184,111,73,550
C,,Noble Sage,600,Warm neutral,Probably the safest tuning in Noble's arsenal. Expectedly limited in sheer technicalities.,B-,C,2BA,Stereo SG demo unit,184,73,111,600
C,,Tralucent 1 Plus 1.2,650,Warm,"WARNING: the IEM is not compatible with eartips. Sounds alright, but also an extremely stupid design.",B-,C,1BA 1DD,Jaben SG demo unit,184,73,111,650
C,,Fatfreq 20.6,810,Warm,,C,B-,6BA,Showfloor demo unit,184,111,73,810
C,,Itsfit Fusion,950,"""Balanced""","Hard to pinpoint its exact signature, but the result is an odd tonality.",C,B-,1MS 2BA 1DD,Available for demo at The Hangout,184,111,73,950
C,,JH Audio JH13v2 Performance Series,1000,V-shaped,"Good all rounder, slightly warmer and more coherent than the custom version",C,B-,8BA,Zeppelin & Co demo unit,184,111,73,1000
C,,Aroma Witch Girl Pro,1100,Warm,Downsloping response that sounds muted. Treble extension is its big weakness.,C,B-,4BA 2DD,AV One demo unit,184,111,73,1100
C,,FitEar Parterre,1200,Warm,"Intimate, smooth and laidback sound",C,B-,2BA?,Jaben SG demo unit,184,111,73,1200
C,,Dita Fealty,1300,Mild V-shape,The more natural sounding and less technical of the Dita twins.,C,B-,DD,Zeppelin & Co demo unit,184,111,73,1300
C,,MMR Homunculus,1700,Warm neutral,"Not the worst thing out there, but also nothing special about it.",C,B-,2EST 1BA 1DD,ConnectIT demo unit,184,111,73,1700
C,,Flipears Aurora,2100,"""Balanced""",,C,B-,2EST 6BA 2DD,e-Earphone demo unit,184,111,73,2100
C,,Tralucent 1 Plus 5.2,2380,"""Balanced""",Tonally all over the place with a persistent lack of energy and bite in the higher frequencies.,C,B-,5BA,Jaben SG demo unit,184,111,73,2380
C,,Audeze LCDi4 (No Cipher),2500,"""Balanced""","Low distortion, high resolution and excellent clarity marred by poor tuning which destroys timbre.",D,S+,Planar,Stereo SG demo unit,184,183,1,2500
